"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"0s",0.025,0.021,0.025,0.003,0.003,0.003,0.026,0.019,0.017,0,0.016,0.021,0.033,0.021,0.017,0.00600000000000001,0.001,0.003,0.013,0.017,0.014,0,0.01,0.01,0.023,0.021,0.023,0.00600000000000001,0.004,0.00600000000000001,0.015,0.016,0.018,0,0.012,0.012,0.02,0.011,0.013,-0.001,-0.002,-0.001,0.00899999999999999,0.00599999999999999,0.00699999999999999,0,0.00799999999999999,0.00799999999999999,0.018,0.017,0.016,0.005,0.00600000000000001,0.002,0.013,0.01,0.016,0,0.014,0.015,0.027,0.02,0.017,0.00600000000000001,0.005,0.00700000000000001,0.016,0.011,0.014,0,0.017,0.00699999999999999,0.024,0.032,0.02,0.004,0.005,0.005,0.013,0.016,0.014,0,0.011,0.012,0.021,0.004,0.021,0.004,0.005,0.011,0.017,0.018,0.016,0,0.016,0.016
"1016s",0.05,0.047,0.058,0.003,0.003,0.002,0.045,0.028,0.031,0,0.014,0.02,0.036,0.022,0.018,0.00700000000000001,0.003,0.004,0.013,0.018,0.014,0,0.01,0.011,0.023,0.02,0.024,0.005,0.004,0.00600000000000001,0.014,0.015,0.018,0,0.011,0.012,0.023,0.015,0.019,0,-0.001,0,0.011,0.00899999999999999,0.01,0,0.00899999999999999,0.00899999999999999,0.02,0.02,0.019,0.00700000000000001,0.00700000000000001,0.003,0.013,0.013,0.017,0,0.015,0.016,0.027,0.02,0.019,0.00600000000000001,0.005,0.00800000000000001,0.016,0.013,0.016,0,0.018,0.00899999999999999,0.023,0.031,0.021,0.00600000000000001,0.00700000000000001,0.005,0.014,0.016,0.017,0,0.012,0.013,0.022,0.004,0.02,0.003,0.004,0.011,0.016,0.017,0.014,0,0.015,0.017
"2033s",0.074,0.061,0.07,0.004,0.004,0.004,0.081,0.067,0.068,0,0.017,0.023,0.034,0.022,0.018,0.00700000000000001,0.002,0.004,0.012,0.016,0.013,0,0.011,0.012,0.021,0.019,0.023,0.005,0.004,0.005,0.012,0.013,0.017,0,0.01,0.011,0.022,0.014,0.018,0.001,0,0.001,0.01,0.00899999999999999,0.00899999999999999,0,0.015,0.014,0.019,0.019,0.018,0.00600000000000001,0.00600000000000001,0.003,0.012,0.012,0.016,0,0.016,0.017,0.025,0.02,0.018,0.00600000000000001,0.005,0.00800000000000001,0.016,0.013,0.014,0,0.023,0.012,0.022,0.029,0.021,0.00600000000000001,0.00700000000000001,0.00600000000000001,0.013,0.014,0.015,0,0.012,0.015,0.023,0.005,0.02,0.004,0.005,0.012,0.016,0.017,0.014,0,0.015,0.022
"3049s",0.095,0.077,0.087,0.004,0.004,0.004,0.099,0.099,0.09,0,0.023,0.029,0.035,0.022,0.019,0.00800000000000001,0.003,0.004,0.013,0.017,0.014,0,0.013,0.014,0.021,0.018,0.022,0.00600000000000001,0.004,0.00600000000000001,0.012,0.014,0.016,0,0.011,0.011,0.02,0.013,0.017,0.001,0,0.001,0.00899999999999999,0.00700000000000001,0.00700000000000001,0,0.015,0.014,0.019,0.019,0.018,0.00700000000000001,0.00700000000000001,0.004,0.012,0.013,0.016,0,0.019,0.019,0.024,0.02,0.017,0.00600000000000001,0.004,0.00700000000000001,0.016,0.012,0.012,0,0.03,0.012,0.022,0.028,0.02,0.00600000000000001,0.00700000000000001,0.00600000000000001,0.013,0.014,0.015,0,0.015,0.017,0.023,0.005,0.019,0.004,0.005,0.012,0.015,0.017,0.014,0,0.014,0.03
"4066s",0.119,0.094,0.105,0.005,0.005,0.005,0.12,0.126,0.109,0,0.03,0.036,0.035,0.022,0.018,0.00700000000000001,0.003,0.004,0.013,0.017,0.013,0,0.015,0.017,0.02,0.018,0.021,0.00600000000000001,0.004,0.00600000000000001,0.012,0.013,0.017,0,0.011,0.011,0.02,0.012,0.016,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.019,0.019,0.018,0.019,0.016,0.00700000000000001,0.00700000000000001,0.004,0.011,0.012,0.014,0,0.02,0.021,0.024,0.019,0.017,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.041,0.013,0.021,0.027,0.02,0.00600000000000001,0.00700000000000001,0.005,0.013,0.013,0.013,0,0.018,0.018,0.022,0.004,0.018,0.004,0.005,0.012,0.015,0.016,0.013,0,0.014,0.042
"5082s",0.143,0.114,0.124,0.00800000000000001,0.00800000000000001,0.00700000000000001,0.138,0.159,0.131,0,0.043,0.048,0.034,0.021,0.018,0.00700000000000001,0.003,0.004,0.013,0.017,0.013,0,0.019,0.02,0.019,0.017,0.021,0.005,0.004,0.00600000000000001,0.012,0.013,0.017,0,0.011,0.011,0.02,0.013,0.016,0.002,0.001,0.001,0.00900000000000001,0.00700000000000001,0.00800000000000001,0,0.02,0.02,0.017,0.018,0.015,0.00700000000000001,0.00600000000000001,0.004,0.01,0.011,0.013,0,0.021,0.021,0.023,0.019,0.016,0.005,0.004,0.00700000000000001,0.016,0.011,0.011,0,0.058,0.012,0.021,0.027,0.02,0.00600000000000001,0.00700000000000001,0.005,0.013,0.012,0.012,0,0.022,0.017,0.021,0.004,0.018,0.004,0.005,0.012,0.014,0.015,0.013,0,0.014,0.058
"6099s",0.169,0.134,0.147,0.01,0.01,0.00900000000000001,0.168,0.187,0.158,0,0.058,0.062,0.035,0.022,0.018,0.00800000000000001,0.003,0.004,0.013,0.017,0.014,0,0.024,0.024,0.019,0.017,0.02,0.005,0.004,0.005,0.011,0.013,0.017,0,0.01,0.011,0.02,0.013,0.016,0.002,0.001,0.001,0.00800000000000001,0.00700000000000001,0.00800000000000001,0,0.018,0.02,0.017,0.017,0.015,0.00700000000000001,0.00600000000000001,0.004,0.01,0.011,0.012,0,0.023,0.022,0.022,0.018,0.016,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.076,0.011,0.02,0.027,0.019,0.005,0.00700000000000001,0.005,0.012,0.012,0.012,0,0.029,0.014,0.021,0.004,0.018,0.004,0.004,0.012,0.014,0.015,0.012,0,0.014,0.074
"7115s",0.199,0.159,0.172,0.012,0.012,0.011,0.193,0.216,0.184,0,0.076,0.082,0.035,0.022,0.019,0.00800000000000001,0.003,0.005,0.013,0.017,0.014,0,0.03,0.031,0.019,0.017,0.02,0.005,0.004,0.005,0.011,0.012,0.016,0,0.01,0.011,0.02,0.012,0.015,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.016,0.02,0.016,0.017,0.014,0.00700000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.011,0,0.023,0.021,0.022,0.019,0.016,0.005,0.004,0.00800000000000001,0.014,0.012,0.012,0,0.098,0.01,0.02,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.012,0,0.038,0.013,0.02,0.004,0.017,0.004,0.004,0.012,0.013,0.015,0.012,0,0.012,0.091
"8131s",0.227,0.187,0.201,0.015,0.015,0.014,0.218,0.249,0.218,0,0.097,0.1,0.036,0.023,0.02,0.00900000000000001,0.004,0.00600000000000001,0.014,0.018,0.015,0,0.039,0.039,0.018,0.017,0.019,0.005,0.004,0.005,0.011,0.012,0.016,0,0.00900000000000001,0.01,0.019,0.012,0.015,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.017,0.022,0.016,0.017,0.014,0.00600000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.012,0,0.023,0.023,0.021,0.018,0.015,0.004,0.003,0.00700000000000001,0.013,0.011,0.011,0,0.116,0.01,0.019,0.026,0.019,0.004,0.00600000000000001,0.005,0.012,0.011,0.011,0,0.05,0.012,0.019,0.004,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.01,0.123
"9148s",0.252,0.21,0.227,0.019,0.019,0.018,0.239,0.281,0.258,0,0.12,0.121,0.038,0.024,0.021,0.01,0.005,0.00600000000000001,0.014,0.019,0.016,0,0.05,0.05,0.018,0.017,0.019,0.005,0.004,0.005,0.011,0.012,0.016,0,0.00800000000000001,0.00900000000000001,0.019,0.012,0.015,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.014,0.02,0.016,0.017,0.014,0.00600000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.013,0,0.022,0.023,0.022,0.019,0.016,0.005,0.004,0.00700000000000001,0.014,0.012,0.011,0,0.148,0.00900000000000001,0.019,0.025,0.018,0.004,0.00600000000000001,0.005,0.011,0.011,0.012,0,0.068,0.012,0.018,0.004,0.017,0.003,0.003,0.011,0.012,0.014,0.012,0,0.00700000000000001,0.153
